Feature,Mean |SHAP|
numerical__CrossArms_Right_GyroMag_Min,0.004725268
numerical__HoldWeight_RightWrist_acc_x_dominant_frequency,0.004264643
numerical__HoldWeight_Right_GyroX_Min,0.0042080316
numerical__StretchHold_RightWrist_acc_y_spectral_entropy,0.004195737
numerical__DrinkGlas_RightWrist_acc_y_dominant_frequency,0.0041576335
numerical__DrinkGlas_RightWrist_acc_magnitude_spectral_centroid,0.003991276
numerical__TouchNose_Left_GyroMag_RMS,0.003655181
numerical__HoldWeight_Right_GyroMag_Min,0.0032489547
numerical__CrossArms_Left_AccX_IQR,0.0032442177
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_centroid,0.0031769495
numerical__TouchNose_RightWrist_gyro_x_spectral_entropy,0.0031494722
numerical__TouchNose_Left_GyroY_IQR,0.0030000824
numerical__RelaxedTask_RightWrist_gyro_z_spectral_centroid,0.0029667902
numerical__TouchNose_Left_AccX_IQR,0.0029607639
numerical__TouchNose_Right_GyroY_Max,0.002920343
numerical__TouchNose_Right_GyroY_RMS,0.0027543365
numerical__DrinkGlas_Left_AccMag_Median,0.0027090965
numerical__LiftHold_RightWrist_acc_z_spectral_centroid,0.002702829
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_entropy,0.0026433324
numerical__HoldWeight_LeftWrist_acc_y_spectral_entropy,0.0026288228
numerical__PointFinger_Right_AccZ_Median,0.0025643492
numerical__TouchNose_Right_AccMag_Min,0.0022880293
numerical__HoldWeight_LeftWrist_acc_x_spectral_centroid,0.0021990973
numerical__TouchNose_Right_GyroX_IQR,0.002183624
numerical__DrinkGlas_RightWrist_acc_x_dominant_frequency,0.0021623112
numerical__Relaxed_RightWrist_acc_x_spectral_entropy,0.002110617
numerical__TouchIndex_Right_GyroX_IQR,0.0020667873
numerical__TouchNose_Left_GyroMag_Median,0.002016587
numerical__CrossArms_RightWrist_acc_magnitude_spectral_entropy,0.0019887679
numerical__PointFinger_Right_AccZ_IQR,0.0019317376
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_power,0.0018604196
numerical__HoldWeight_RightWrist_acc_z_spectral_centroid,0.0018551805
numerical__HoldWeight_Left_AccMag_IQR,0.0018310194
numerical__CrossArms_Left_AccY_IQR,0.0018058482
numerical__LiftHold_Left_AccX_IQR,0.0017965713
numerical__TouchNose_Left_GyroZ_IQR,0.0017109024
numerical__PointFinger_Right_GyroY_Max,0.0016981208
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.0016885601
numerical__TouchNose_Left_GyroY_Std,0.0015028266
numerical__RelaxedTask_LeftWrist_gyro_x_spectral_entropy,0.0014679359
numerical__PointFinger_RightWrist_gyro_z_spectral_entropy,0.0013519967
