Feature,Mean |SHAP|
numerical__DrinkGlas_Right_GyroMag_Std,0.007565245
numerical__Relaxed_RightWrist_gyro_y_spectral_entropy,0.0073158313
numerical__HoldWeight_Left_GyroX_IQR,0.0072041187
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.007002015
numerical__LiftHold_LeftWrist_gyro_y_spectral_entropy,0.0070019653
numerical__TouchIndex_RightWrist_gyro_z_spectral_entropy,0.0068459497
numerical__StretchHold_RightWrist_gyro_y_dominant_frequency,0.006689828
numerical__HoldWeight_Right_GyroY_Range,0.0063874
numerical__CrossArms_Left_GyroX_IQR,0.006271877
numerical__TouchNose_Left_GyroY_Min,0.00619278
numerical__StretchHold_LeftWrist_gyro_x_spectral_entropy,0.0061844056
numerical__HoldWeight_Left_GyroMag_Min,0.0057872427
numerical__CrossArms_RightWrist_acc_y_spectral_entropy,0.0054898895
numerical__HoldWeight_RightWrist_gyro_magnitude_spectral_centroid,0.00533524
numerical__DrinkGlas_LeftWrist_acc_z_dominant_frequency,0.0052624103
numerical__DrinkGlas_Left_AccMag_Mean,0.005162556
numerical__CrossArms_RightWrist_gyro_z_spectral_centroid,0.005158784
numerical__DrinkGlas_Left_GyroMag_Min,0.0050943857
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_centroid,0.0049853423
numerical__HoldWeight_RightWrist_gyro_magnitude_dominant_frequency,0.004952018
numerical__HoldWeight_LeftWrist_acc_x_spectral_entropy,0.0049461517
numerical__CrossArms_LeftWrist_acc_z_spectral_entropy,0.0048443205
numerical__CrossArms_Left_GyroX_Mean,0.0047734403
numerical__RelaxedTask_RightWrist_gyro_z_spectral_centroid,0.004709613
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_entropy,0.004539934
numerical__LiftHold_RightWrist_acc_z_spectral_centroid,0.004452795
numerical__LiftHold_Left_GyroX_Std,0.0042394176
numerical__HoldWeight_Left_GyroMag_Std,0.0041661416
numerical__HoldWeight_RightWrist_gyro_z_spectral_centroid,0.0040654764
numerical__StretchHold_Left_AccZ_Std,0.004019311
numerical__HoldWeight_RightWrist_acc_y_spectral_centroid,0.0039087576
numerical__DrinkGlas_Left_AccMag_Min,0.0037895353
numerical__LiftHold_Right_AccX_IQR,0.0035511313
numerical__TouchNose_RightWrist_gyro_x_spectral_entropy,0.0035319743
numerical__TouchIndex_LeftWrist_acc_x_spectral_entropy,0.0034979747
numerical__RelaxedTask_RightWrist_acc_x_spectral_centroid,0.003488087
numerical__DrinkGlas_Left_GyroMag_RMS,0.0034188842
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_centroid,0.0034125734
numerical__PointFinger_RightWrist_acc_x_spectral_entropy,0.0033841676
numerical__TouchNose_Left_GyroMag_Range,0.0033242595
numerical__HoldWeight_LeftWrist_gyro_x_spectral_centroid,0.003316599
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.0032709464
numerical__TouchNose_RightWrist_gyro_y_spectral_centroid,0.0032391879
numerical__DrinkGlas_Left_GyroY_Std,0.0031109548
numerical__DrinkGlas_Left_GyroZ_Range,0.0029921227
numerical__StretchHold_Left_AccMag_Min,0.0029342575
numerical__DrinkGlas_Right_AccMag_Median,0.0028093595
numerical__CrossArms_Left_GyroX_Std,0.002808855
numerical__HoldWeight_RightWrist_acc_x_spectral_entropy,0.0027354404
numerical__LiftHold_LeftWrist_acc_x_spectral_centroid,0.002721589
numerical__RelaxedTask_LeftWrist_acc_z_spectral_entropy,0.0027132744
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_entropy,0.0026653553
numerical__HoldWeight_Right_GyroMag_Min,0.0025937164
numerical__PointFinger_RightWrist_gyro_z_spectral_entropy,0.0023674062
numerical__LiftHold_Right_AccY_Min,0.0023668825
numerical__CrossArms_LeftWrist_gyro_y_spectral_entropy,0.002345167
numerical__Q05,0.0022266177
numerical__TouchNose_Right_AccZ_Median,0.0021482992
numerical__CrossArms_Right_AccX_Mean,0.0020533171
numerical__RelaxedTask_LeftWrist_acc_x_spectral_entropy,0.0020320192
numerical__cardiovascular_count,0.0020272052
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.0019158022
numerical__LiftHold_Left_GyroZ_IQR,0.0018574318
