Task,Retained_Features,Total_Absolute_SHAP,Mean_Absolute_SHAP_Per_Feature
HoldWeight,80,0.5673974,0.0070924675
TouchNose,65,0.5601528,0.0086177355
RelaxedTask,24,0.5281006,0.022004193
CrossArms,53,0.4085676,0.007708823
StretchHold,36,0.36585417,0.010162616
DrinkGlas,62,0.30809852,0.004969331
LiftHold,65,0.28503427,0.0043851426
PointFinger,29,0.23318519,0.008040869
TouchIndex,22,0.18586245,0.008448293
Relaxed,17,0.15664005,0.009214121
Entrainment,7,0.05748928,0.0082127545
