Modality,Retained_Features,Total_Absolute_SHAP,Mean_Absolute_SHAP_Per_Feature
Wearable Sensors,460,3.6563823,0.0079486575
Questionnaire,35,0.86218435,0.024633838
Demographics,5,0.0053583416,0.0010716683
