Task,Mean |SHAP|
CrossArms,0.07540905305410017
HoldWeight,0.0726798609236218
RelaxedTask,0.0584836605110872
LiftHold,0.028053683517516213
TouchIndex,0.021596426257416722
TouchNose,0.02158436815959409
Relaxed,0.013207432029906594
DrinkGlas,0.0071421324763475446
