Metric,Value
Coverage,0.9859154929577465
Average Prediction Set Size,2.2816901408450705
Singleton Prediction Rate,0.11267605633802817
Ambiguous Prediction Rate,0.8873239436619719
Empty Prediction Rate,0.0
