dataset,fold,feature,selection_score
multimodal_full,4,total_symptom_count,57.223348400299535
multimodal_full,4,urinal_count,38.75067228879491
multimodal_full,4,Q02,35.926327499573965
multimodal_full,4,distortion_perception_count,33.99906674751273
multimodal_full,4,gastrointestinal_count,33.814224406515386
multimodal_full,4,Q08,31.627441867833124
multimodal_full,4,sleep_fatigue_count,30.01517720037227
multimodal_full,4,Q25,27.84680906069586
multimodal_full,4,Q01,23.313772957793024
multimodal_full,4,cardiovascular_count,21.823285861843505
multimodal_full,4,apathy_attention_memory_count,21.341020495105273
multimodal_full,4,Q05,20.241859524438606
multimodal_full,4,freq_gyro_y_dominant_frequency,20.219813542295718
multimodal_full,4,Q09,17.190834455567895
multimodal_full,4,Q12,14.51729324563091
multimodal_full,4,gender_Female,13.419450381166083
multimodal_full,4,gender_Male,13.419450381166083
multimodal_full,4,Q20,13.368916843972864
multimodal_full,4,Q07,13.140763533484591
multimodal_full,4,Q15,12.66234472029409
