dataset,fold,feature,selection_score
wearable_questionnaire,3,total_symptom_count,69.29079904873969
wearable_questionnaire,3,urinal_count,41.32249971572441
wearable_questionnaire,3,distortion_perception_count,38.878734810745975
wearable_questionnaire,3,sleep_fatigue_count,37.29780280027925
wearable_questionnaire,3,Q25,37.00883495014289
wearable_questionnaire,3,Q02,36.831389214379826
wearable_questionnaire,3,Q08,33.29224711949448
wearable_questionnaire,3,gastrointestinal_count,30.433871140457615
wearable_questionnaire,3,apathy_attention_memory_count,27.272161177348202
wearable_questionnaire,3,cardiovascular_count,23.832128946679852
wearable_questionnaire,3,freq_gyro_y_dominant_frequency,21.10091926675259
wearable_questionnaire,3,Q01,19.160877007945857
wearable_questionnaire,3,Q15,17.797711963148632
wearable_questionnaire,3,Q09,17.36411550891343
wearable_questionnaire,3,symmetry_Gyroscope_Z_Median_difference,16.84519882941114
wearable_questionnaire,3,Q12,16.377440367349678
wearable_questionnaire,3,Q05,15.730318722420776
wearable_questionnaire,3,miscellaneous_count,15.388018220212832
wearable_questionnaire,3,Q13,15.058988977822477
wearable_questionnaire,3,Q03,14.889049418512593
