dataset,fold,feature,selection_score
wearable_questionnaire,5,total_symptom_count,55.31760625481484
wearable_questionnaire,5,Q02,38.07915123939333
wearable_questionnaire,5,urinal_count,37.94721705598899
wearable_questionnaire,5,distortion_perception_count,35.28237251190906
wearable_questionnaire,5,gastrointestinal_count,32.12679053337409
wearable_questionnaire,5,Q08,28.3551009411268
wearable_questionnaire,5,sleep_fatigue_count,25.786565409796985
wearable_questionnaire,5,Q25,24.0439666808275
wearable_questionnaire,5,Q01,22.653840958363237
wearable_questionnaire,5,cardiovascular_count,20.610220070544724
wearable_questionnaire,5,Q05,20.4056032420552
wearable_questionnaire,5,freq_gyro_y_dominant_frequency,19.95652857495855
wearable_questionnaire,5,Q09,19.207268886933104
wearable_questionnaire,5,apathy_attention_memory_count,18.579507878456162
wearable_questionnaire,5,freq_gyro_magnitude_spectral_entropy,17.033907298407176
wearable_questionnaire,5,freq_acc_x_dominant_frequency,15.091327967229685
wearable_questionnaire,5,Q20,12.49199572450934
wearable_questionnaire,5,Q07,12.453774071167334
wearable_questionnaire,5,freq_gyro_z_dominant_frequency,12.431879278143569
wearable_questionnaire,5,freq_acc_y_dominant_frequency,12.240451811406896
