dataset,feature,times_selected,mean_selection_score,std_selection_score,selection_percentage
demographics_questionnaire,total_symptom_count,5,59.22997683117624,5.994842695917376,100.0
demographics_questionnaire,urinal_count,5,40.911048749171805,2.57053591574808,100.0
demographics_questionnaire,Q02,5,35.48702943527796,2.14846137530491,100.0
demographics_questionnaire,distortion_perception_count,5,35.432655047959784,2.1703601686354173,100.0
demographics_questionnaire,gastrointestinal_count,5,33.06727795917161,1.7647787331100606,100.0
demographics_questionnaire,Q08,5,31.829230111026515,2.0844912101456257,100.0
demographics_questionnaire,sleep_fatigue_count,5,30.618252482214007,4.195647157723915,100.0
demographics_questionnaire,Q25,5,28.504715157323044,5.01059236502474,100.0
demographics_questionnaire,cardiovascular_count,5,21.593214582617488,4.066713116322873,100.0
demographics_questionnaire,Q01,5,21.489631934768145,1.6235553302629555,100.0
demographics_questionnaire,apathy_attention_memory_count,5,21.055656639436883,3.798241121262428,100.0
demographics_questionnaire,Q05,5,18.944193027856205,2.2902581071322508,100.0
demographics_questionnaire,Q09,5,18.858542154999682,1.6314723582150326,100.0
demographics_questionnaire,gender_Female,5,15.513232245715741,1.804282135565701,100.0
demographics_questionnaire,gender_Male,5,15.513232245715736,1.8042821355656995,100.0
demographics_questionnaire,Q15,4,14.063542932006229,2.843363984360894,80.0
demographics_questionnaire,Q12,4,13.831741954288795,2.0484042083860166,80.0
demographics_questionnaire,Q03,4,13.276328625598344,1.836001986629421,80.0
demographics_questionnaire,Q07,3,14.150597898027689,2.3690689213596743,60.0
demographics_questionnaire,Q20,3,13.157941643733281,0.5894882770591346,60.0
demographics_questionnaire,Q13,3,12.556967838114394,2.1787535019027504,60.0
demographics_questionnaire,miscellaneous_count,1,15.388018220212832,,20.0
demographics_questionnaire,Q21,1,14.004482166624904,,20.0
demographics_questionnaire,Q26,1,13.20683593427208,,20.0
demographics_questionnaire,Q24,1,10.856813591883332,,20.0
