dataset,fold,feature,selection_score
demographics_questionnaire,1,total_symptom_count,54.455191970609256
demographics_questionnaire,1,urinal_count,42.344182312681404
demographics_questionnaire,1,gastrointestinal_count,34.68652104551488
demographics_questionnaire,1,Q02,33.59106418275619
demographics_questionnaire,1,Q08,33.51930672166753
demographics_questionnaire,1,distortion_perception_count,33.24562144339926
demographics_questionnaire,1,sleep_fatigue_count,29.18537113515552
demographics_questionnaire,1,Q25,27.822498545299524
demographics_questionnaire,1,Q01,21.491664262740322
demographics_questionnaire,1,Q05,21.00585764035734
demographics_questionnaire,1,Q09,19.384051681979276
demographics_questionnaire,1,apathy_attention_memory_count,17.502397638778234
demographics_questionnaire,1,Q07,16.85725608943114
demographics_questionnaire,1,gender_Female,15.711855459126413
demographics_questionnaire,1,gender_Male,15.711855459126397
demographics_questionnaire,1,cardiovascular_count,15.418065257819427
demographics_questionnaire,1,Q12,12.672642618009927
demographics_questionnaire,1,Q13,11.078175608783793
demographics_questionnaire,1,Q03,10.983264861202446
demographics_questionnaire,1,Q24,10.856813591883332
