dataset,fold,feature,selection_score
multimodal_full,1,total_symptom_count,54.455191970609256
multimodal_full,1,urinal_count,42.344182312681404
multimodal_full,1,gastrointestinal_count,34.68652104551488
multimodal_full,1,Q02,33.59106418275619
multimodal_full,1,Q08,33.51930672166753
multimodal_full,1,distortion_perception_count,33.24562144339926
multimodal_full,1,sleep_fatigue_count,29.18537113515552
multimodal_full,1,Q25,27.822498545299524
multimodal_full,1,Q01,21.491664262740322
multimodal_full,1,Q05,21.00585764035734
multimodal_full,1,Q09,19.384051681979276
multimodal_full,1,freq_gyro_y_dominant_frequency,19.223384270587403
multimodal_full,1,apathy_attention_memory_count,17.502397638778234
multimodal_full,1,Q07,16.85725608943114
multimodal_full,1,gender_Female,15.711855459126413
multimodal_full,1,gender_Male,15.711855459126397
multimodal_full,1,cardiovascular_count,15.418065257819427
multimodal_full,1,Q12,12.672642618009927
multimodal_full,1,freq_original_sampling_frequency_hz,11.9033486254909
multimodal_full,1,freq_gyro_z_dominant_frequency,11.668627598565488
