dataset,fold,feature,selection_score
demographics_questionnaire,3,total_symptom_count,69.29079904873969
demographics_questionnaire,3,urinal_count,41.32249971572441
demographics_questionnaire,3,distortion_perception_count,38.878734810745975
demographics_questionnaire,3,sleep_fatigue_count,37.29780280027925
demographics_questionnaire,3,Q25,37.00883495014289
demographics_questionnaire,3,Q02,36.831389214379826
demographics_questionnaire,3,Q08,33.29224711949448
demographics_questionnaire,3,gastrointestinal_count,30.433871140457615
demographics_questionnaire,3,apathy_attention_memory_count,27.272161177348202
demographics_questionnaire,3,cardiovascular_count,23.832128946679852
demographics_questionnaire,3,Q01,19.160877007945857
demographics_questionnaire,3,Q15,17.797711963148632
demographics_questionnaire,3,Q09,17.36411550891343
demographics_questionnaire,3,gender_Male,16.396235442529797
demographics_questionnaire,3,gender_Female,16.39623544252978
demographics_questionnaire,3,Q12,16.377440367349678
demographics_questionnaire,3,Q05,15.730318722420776
demographics_questionnaire,3,miscellaneous_count,15.388018220212832
demographics_questionnaire,3,Q13,15.058988977822477
demographics_questionnaire,3,Q03,14.889049418512593
