dataset,fold,feature,selection_score
multimodal_full,2,urinary_count,41.775557476512375
multimodal_full,2,gastrointestinal_count,35.740407528371094
multimodal_full,2,distortion_perception_count,31.741981785057334
multimodal_full,2,Q02,31.72278438657937
multimodal_full,2,sleep_fatigue_count,30.317167283756213
multimodal_full,2,Q08,27.282752227353505
multimodal_full,2,Q25,24.773844125630067
multimodal_full,2,DrinkGlas_Left_AccMag_Median,23.505238353139102
multimodal_full,2,Q01,22.697790963278344
multimodal_full,2,Q05,22.630029065283463
multimodal_full,2,HoldWeight_LeftWrist_acc_z_spectral_entropy,22.59336169883985
multimodal_full,2,DrinkGlas_Left_AccY_IQR,22.469497648011632
multimodal_full,2,LiftHold_Left_AccMag_Median,22.274061731900762
multimodal_full,2,Q09,22.129721369264598
multimodal_full,2,HoldWeight_RightWrist_acc_z_spectral_entropy,22.03090445614613
multimodal_full,2,LiftHold_Left_AccX_IQR,21.98569924342966
multimodal_full,2,CrossArms_Left_AccMag_Min,21.881152688890943
multimodal_full,2,LiftHold_Left_AccMag_Mean,21.76267553211027
multimodal_full,2,DrinkGlas_LeftWrist_gyro_x_spectral_centroid,21.523325314435688
multimodal_full,2,LiftHold_Left_GyroZ_IQR,21.399109115202943
