dataset,model,filename,pipeline_steps,added_missing_features,status
Demographics + Questionnaire,Logistic Regression,demographics_plus_questionnaire_logistic_regression.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Demographics + Questionnaire,Random Forest,demographics_plus_questionnaire_random_forest.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Demographics + Questionnaire,XGBoost,demographics_plus_questionnaire_xgboost.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Full Multimodal,Logistic Regression,full_multimodal_logistic_regression.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Full Multimodal,Random Forest,full_multimodal_random_forest.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Full Multimodal,XGBoost,full_multimodal_xgboost.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Wearable + Questionnaire,Logistic Regression,wearable_plus_questionnaire_logistic_regression.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Wearable + Questionnaire,Random Forest,wearable_plus_questionnaire_random_forest.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
Wearable + Questionnaire,XGBoost,wearable_plus_questionnaire_xgboost.joblib,preprocessing -> variance_filter -> feature_selection -> classifier,urinary_count,PASS
