dataset,fold,feature,selection_score
multimodal_full,3,total_symptom_count,69.29079904873969
multimodal_full,3,urinal_count,41.32249971572441
multimodal_full,3,distortion_perception_count,38.878734810745975
multimodal_full,3,sleep_fatigue_count,37.29780280027925
multimodal_full,3,Q25,37.00883495014289
multimodal_full,3,Q02,36.831389214379826
multimodal_full,3,Q08,33.29224711949448
multimodal_full,3,gastrointestinal_count,30.433871140457615
multimodal_full,3,apathy_attention_memory_count,27.272161177348202
multimodal_full,3,cardiovascular_count,23.832128946679852
multimodal_full,3,freq_gyro_y_dominant_frequency,21.10091926675259
multimodal_full,3,Q01,19.160877007945857
multimodal_full,3,Q15,17.797711963148632
multimodal_full,3,Q09,17.36411550891343
multimodal_full,3,symmetry_Gyroscope_Z_Median_difference,16.84519882941114
multimodal_full,3,gender_Male,16.396235442529797
multimodal_full,3,gender_Female,16.39623544252978
multimodal_full,3,Q12,16.377440367349678
multimodal_full,3,Q05,15.730318722420776
multimodal_full,3,miscellaneous_count,15.388018220212832
