Rank,Dataset,Model,Macro F1,Balanced Accuracy,Accuracy,Precision Macro,Recall Macro,Training Time (s),Best Parameters,Inference Time (s),Model Size (KB),Standard Deviation,Coefficient of Variation (%)
1,Multimodal,XGBoost,0.7356631359460462,0.733218520609825,0.7867536032944406,0.779369409637106,0.733218520609825,1485.5071625000055,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0, 'feature_selection__k': 'all'}",0.035267899998871144,352.4150390625,0.047483491887687364,6.454515601984687
2,Demographics + Questionnaire,XGBoost,0.724288094122694,0.7317537172971955,0.769732326698696,0.7425318998796387,0.7317537172971955,335.95312879999983,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0, 'feature_selection__k': 'all'}",0.05117220000101952,642.103515625,0.04923433458697116,6.797617548388264
3,Demographics + Questionnaire,Random Forest,0.7220898820304844,0.7332269904009034,0.7568062228323038,0.7234749277266914,0.7332269904009034,18555.511755300002,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200, 'feature_selection__k': 'all'}",0.15807299999869429,1778.9921875,0.04140058292067012,5.7334390012852054
