Dataset,Model,Macro F1,Balanced Accuracy,Accuracy,Precision Macro,Recall Macro,Training Time (s),Best Parameters
Demographics + Questionnaire,Logistic Regression,0.6089277407256354,0.6578451519240993,0.6555710955710956,0.6067118982737644,0.6578451519240993,27.9036713999958,"{'classifier__C': 0.1, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 'all'}"
Demographics + Questionnaire,Random Forest,0.6198506665853221,0.6439920459657301,0.6983216783216784,0.6369107023241283,0.6439920459657301,1507.5165957999998,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'feature_selection__k': 50}"
Demographics + Questionnaire,XGBoost,0.5981696801670792,0.5928899317057212,0.6922144522144522,0.6459211069716702,0.5928899317057212,222.59148370000185,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0, 'feature_selection__k': 'all'}"
Wearable + Questionnaire,Logistic Regression,0.6874649797391823,0.6890422443054023,0.7437762237762238,0.6958212608212608,0.6890422443054023,102.89573099999689,"{'classifier__C': 1, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 1000}"
Wearable + Questionnaire,Random Forest,0.6834233392964639,0.6840234327076431,0.7376689976689976,0.6911618332206568,0.6840234327076431,7339.940150600014,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 300, 'feature_selection__k': 50}"
Wearable + Questionnaire,XGBoost,0.6843945268347583,0.6671957428536376,0.7620046620046621,0.7554838539757188,0.6671957428536376,46294.75369970001,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8, 'feature_selection__k': 1000}"
Full Multimodal,Logistic Regression,0.6857308202768282,0.6892267819899398,0.7407459207459208,0.6940504341820131,0.6892267819899398,103.90355480002472,"{'classifier__C': 1, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 1000}"
Full Multimodal,Random Forest,0.6863047919211182,0.6932891669733776,0.7377622377622378,0.6889102030708918,0.6932891669733776,7850.438868500001,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200, 'feature_selection__k': 50}"
Full Multimodal,XGBoost,0.6762270663992276,0.6596843945528157,0.765034965034965,0.7676042780748663,0.6596843945528157,19850.267780099995,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8, 'feature_selection__k': 1000}"
