,Model,Validation Accuracy,Validation Balanced Accuracy,Validation Macro F1,Validation Macro Precision,Validation Macro Recall,Test Accuracy,Test Balanced Accuracy,Test Macro F1,Test Macro Precision,Test Macro Recall
0,Dummy Classifier,0.5857142857142857,0.3333333333333333,0.24624624624624625,0.19523809523809524,0.3333333333333333,0.5915492957746479,0.3333333333333333,0.24778761061946905,0.19718309859154928,0.3333333333333333
1,Logistic Regression,0.5714285714285714,0.5545592220628088,0.5384615384615384,0.5329768270944742,0.5545592220628088,0.5211267605633803,0.48272642390289455,0.47644144144144146,0.473144399460189,0.48272642390289455
2,Random Forest,0.6,0.5789893193049577,0.5575894805761675,0.5492604059167526,0.5789893193049577,0.6338028169014085,0.5894024276377218,0.5804700282611929,0.5772357723577235,0.5894024276377218
