metric,mean,std,min,max
accuracy,0.6226492793411118,0.04106352062826544,0.5638297872340425,0.6595744680851063
balanced_accuracy,0.6071921074094988,0.05526113935992452,0.5216238471673255,0.6521245059288537
macro_f1,0.5738677056579645,0.0437513023039459,0.5112978524743231,0.6132260854523438
precision_macro,0.5678508258045961,0.0457589617083925,0.5084519810163707,0.6110719599091692
recall_macro,0.6071921074094988,0.05526113935992452,0.5216238471673255,0.6521245059288537
