Dataset,Model,Macro F1,Balanced Accuracy,Accuracy,Precision Macro,Recall Macro,Training Time (s),Best Parameters,Inference Time (s),Model Size (KB),Standard Deviation,Coefficient of Variation (%)
Wearable + Questionnaire,Logistic Regression,0.6795513327672533,0.7037515846726372,0.7195337995337996,0.6691903164774682,0.7037515846726372,60.162622399999236,"{'classifier__C': 0.01, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 250}",0.37657809999655,251.1787109375,0.016030047890657602,2.3589164081807343
Full Multimodal,Logistic Regression,0.6787266434124437,0.7174181082075818,0.7163636363636364,0.6680599298499907,0.7174181082075818,58.97190160000173,"{'classifier__C': 0.01, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 100}",0.19366859999718145,248.71875,0.026054818040101662,3.8387793219823343
Wearable + Questionnaire,Random Forest,0.6684326662691845,0.6760893346419662,0.7192540792540792,0.6749374188733457,0.6760893346419662,409.09241219999967,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selection__k': 50}",0.20077080000191927,1826.4970703125,0.0707487318980323,10.584272054343478
Full Multimodal,Random Forest,0.6679166083280739,0.667292356766041,0.7223776223776224,0.6788539324211,0.667292356766041,368.1834125999958,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'feature_selection__k': 50}",0.17014010000275448,1020.7978515625,0.0963894367669876,14.431357981690146
Wearable + Questionnaire,XGBoost,0.6595425689415545,0.6447537112010797,0.7346853146853147,0.7010710717853575,0.6447537112010797,2062.2780979000017,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0, 'feature_selection__k': 100}",0.16182739999931073,898.7021484375,0.06233409154640545,9.45110967536793
Full Multimodal,XGBoost,0.6575036043465965,0.6410798266061424,0.7346386946386946,0.7121798750026582,0.6410798266061424,1995.7166046999992,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0, 'feature_selection__k': 500}",0.1533978000006755,905.8193359375,0.05635237816185501,8.57065691949415
Demographics + Questionnaire,Logistic Regression,0.6089277407256354,0.6578451519240993,0.6555710955710956,0.6067118982737644,0.6578451519240993,13.586738099998911,"{'classifier__C': 0.1, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs', 'feature_selection__k': 'all'}",0.033150600000226405,8.31640625,0.040425883960809206,6.638863900770107
Demographics + Questionnaire,Random Forest,0.6040508424809188,0.6120741831268147,0.6767832167832168,0.6112352356254795,0.6120741831268147,72.52121530000295,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'feature_selection__k': 50}",0.1081421000053524,1089.7236328125,0.06997983850394963,11.585090787479567
Demographics + Questionnaire,XGBoost,0.5856791357948054,0.5806046292888397,0.673846153846154,0.6128069215459779,0.5806046292888397,25.748195699998178,"{'classifier__colsample_bytree': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0, 'feature_selection__k': 50}",0.04292680000071414,649.9931640625,0.04491110664057825,7.668210099311615
