metric,mean,std,min,max
accuracy,0.6759094028826356,0.0243900131081892,0.6382978723404256,0.7021276595744681
balanced_accuracy,0.685549752180187,0.028838168424965876,0.648435441370224,0.725
macro_f1,0.6458418451009182,0.026771369316910872,0.6034317507071557,0.6719339720459541
precision_macro,0.6342794499720816,0.02606470760473479,0.5934065934065934,0.6589695027195027
recall_macro,0.685549752180187,0.028838168424965876,0.648435441370224,0.725
