Priority,Dataset,Model,Best CV Balanced Accuracy,CV Standard Deviation,Mean Training Score,Parameter Combinations,Coefficient of Variation (%),Training Time (s),Inference Time (s),Model Size (KB),Selection Rationale
Primary,Demographics + Questionnaire,Random Forest,0.7332269904009034,0.04643538667186448,0.9565159741390559,810,6.333016552824276,1974.4888016000004,0.15750379999735742,1778.9921875,Highest balanced accuracy for the integrated demographics and questionnaire dataset.
Secondary,Multimodal,XGBoost,0.733218520609825,0.04541094928946857,1.0,240,6.193371827501008,1590.3455519999989,0.030409800001507392,352.4150390625,Highest-performing complete multimodal model with competitive computational efficiency.
Alternative,Wearable + Questionnaire,Logistic Regression,0.6990295815295816,0.024055102378505378,0.8432379712974342,20,3.441213793251668,8.21784789999947,0.10336019999886048,27.8818359375,Best-performing wearable-based configuration and fastest overall model.
