fold,train_participants,validation_participants,accuracy,balanced_accuracy,macro_f1,precision_macro,recall_macro
1,375,94,0.5638297872340425,0.5216238471673255,0.5112978524743231,0.5084519810163707,0.5216238471673255
2,375,94,0.6595744680851063,0.6521245059288537,0.6132260854523438,0.6011111111111112,0.6521245059288537
3,375,94,0.648936170212766,0.6460638998682476,0.5979757756761241,0.6110719599091692,0.6460638998682476
4,375,94,0.5957446808510638,0.5819805194805194,0.5450377562028047,0.5299234248124165,0.5819805194805194
5,376,93,0.6451612903225806,0.6341677646025472,0.6018010584842267,0.5886956521739131,0.6341677646025472
