,precision,recall,f1-score,support
0,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
1,0.8108108108108109,0.7317073170731707,0.7692307692307693,41.0
2,0.6111111111111112,0.6470588235294118,0.6285714285714286,17.0
accuracy,0.7285714285714285,0.7285714285714285,0.7285714285714285,0.7285714285714285
macro avg,0.6961961961961962,0.7373664913119719,0.7128476461809795,70.0
weighted avg,0.7376018876018875,0.7285714285714285,0.7301866387580673,70.0
