Dataset,Model,Original_Brier,Best_Method,Best_Brier,Brier_Improvement
Demographics + Questionnaire,Logistic Regression,0.48590340250347014,Sigmoid,0.4378917618761042,0.04801164062736596
Wearable + Questionnaire,Random Forest,0.3960477178683688,Sigmoid,0.356913594893899,0.039134122974469776
Full Multimodal,XGBoost,0.3941722670322641,Isotonic,0.3754311879743962,0.018741079057867926
