Dataset,Model,Macro F1,Standard Deviation,Minimum Fold,Maximum Fold,Coefficient of Variation (%)
Wearable + Questionnaire,Logistic Regression,0.6795513327672533,0.016030047890657602,0.6614293166405842,0.7049222382555715,2.3589164081807343
Full Multimodal,Logistic Regression,0.6787266434124437,0.026054818040101662,0.6273429951690822,0.6961975073430181,3.8387793219823343
Wearable + Questionnaire,Random Forest,0.6684326662691845,0.0707487318980323,0.5665445665445666,0.7666955266955267,10.584272054343478
Full Multimodal,Random Forest,0.6679166083280739,0.0963894367669876,0.49628339140534267,0.7542735042735043,14.431357981690146
Wearable + Questionnaire,XGBoost,0.6595425689415545,0.06233409154640545,0.5880348982135438,0.7293865115634953,9.45110967536793
Full Multimodal,XGBoost,0.6575036043465965,0.05635237816185501,0.5506598552575563,0.71256038647343,8.57065691949415
Demographics + Questionnaire,Logistic Regression,0.6089277407256354,0.040425883960809206,0.5372448184509896,0.6600943714189417,6.638863900770107
Demographics + Questionnaire,Random Forest,0.6040508424809188,0.06997983850394963,0.5407137907137908,0.7377388341243764,11.585090787479567
Demographics + Questionnaire,XGBoost,0.5856791357948054,0.04491110664057825,0.529040404040404,0.6596153846153846,7.668210099311615
