,precision,recall,f1-score,support
0,0.8181818181818182,0.75,0.782608695652174,12.0
1,0.825,0.8048780487804879,0.8148148148148148,41.0
2,0.5263157894736842,0.5882352941176471,0.5555555555555556,17.0
accuracy,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,0.7231658692185007,0.7143711142993783,0.7176596886741814,70.0
weighted avg,0.7512935748462064,0.7428571428571429,0.7463308028525419,70.0
