Dataset,Model,Training Time (s),Inference Time (s),Model Size (KB)
Demographics + Questionnaire,Logistic Regression,15.925887900000816,0.03248399999938556,8.306640625
Demographics + Questionnaire,Random Forest,1974.4888016000004,0.15750379999735742,1778.9921875
Demographics + Questionnaire,XGBoost,356.03622579999865,0.15130109999881824,642.103515625
Wearable + Questionnaire,Logistic Regression,8.21784789999947,0.10336019999886048,27.8818359375
Wearable + Questionnaire,Random Forest,2014.6114599999964,0.16670199999862234,4421.8984375
Wearable + Questionnaire,XGBoost,1550.7098110999978,0.030244499997934327,826.8076171875
Multimodal,Logistic Regression,10.208458700002666,0.05605869999999413,29.7998046875
Multimodal,Random Forest,2013.630888399999,0.08307110000168905,2022.552734375
Multimodal,XGBoost,1590.3455519999989,0.030409800001507392,352.4150390625
